danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.588,0.165,4.0,0.0,1.0,0.0498,0.97,0.000117,0.206,0.605,0.6800016712277257,audio_features,1Vchex0xowRj9k59RLvRfo,spotify:track:1Vchex0xowRj9k59RLvRfo,https://api.spotify.com/v1/tracks/1Vchex0xowRj9k59RLvRfo,https://api.spotify.com/v1/audio-analysis/1Vchex0xowRj9k59RLvRfo,110840.0,4.0
0.603,0.276,4.0,0.0494249483928045,1.0,0.0871,0.911,0.00237,0.484,0.86,0.2998286991581191,audio_features,1PmXm1881bonBI1AlG5uaH,spotify:track:1PmXm1881bonBI1AlG5uaH,https://api.spotify.com/v1/tracks/1PmXm1881bonBI1AlG5uaH,https://api.spotify.com/v1/audio-analysis/1PmXm1881bonBI1AlG5uaH,125933.0,4.0
0.522,0.755,9.0,0.7741669124152167,1.0,0.0524,0.0517,6.63e-05,0.0781,0.637,0.8454323257222837,audio_features,7Dm3dV3WPNdTgxoNY7YFnc,spotify:track:7Dm3dV3WPNdTgxoNY7YFnc,https://api.spotify.com/v1/tracks/7Dm3dV3WPNdTgxoNY7YFnc,https://api.spotify.com/v1/audio-analysis/7Dm3dV3WPNdTgxoNY7YFnc,269813.0,4.0
0.641,0.812,0.0,0.7154821586552639,0.0,0.0293,0.155,4.43e-05,0.078,0.822,0.4378721092982933,audio_features,1YwNlWLf8auhazSQUDQLFU,spotify:track:1YwNlWLf8auhazSQUDQLFU,https://api.spotify.com/v1/tracks/1YwNlWLf8auhazSQUDQLFU,https://api.spotify.com/v1/audio-analysis/1YwNlWLf8auhazSQUDQLFU,257333.0,4.0
0.766,0.772,0.0,0.6319079917428486,1.0,0.0353,0.403,0.0584,0.183,0.919,0.5986337713342665,audio_features,0qi4b1l0eT3jpzeNHeFXDT,spotify:track:0qi4b1l0eT3jpzeNHeFXDT,https://api.spotify.com/v1/tracks/0qi4b1l0eT3jpzeNHeFXDT,https://api.spotify.com/v1/audio-analysis/0qi4b1l0eT3jpzeNHeFXDT,220893.0,4.0
0.453,0.986,7.0,0.8438808611029194,1.0,0.119,0.387,0.0,0.422,0.455,1.0,audio_features,2AdRSHeYmDGMrgIfiS2w7K,spotify:track:2AdRSHeYmDGMrgIfiS2w7K,https://api.spotify.com/v1/tracks/2AdRSHeYmDGMrgIfiS2w7K,https://api.spotify.com/v1/audio-analysis/2AdRSHeYmDGMrgIfiS2w7K,198147.0,4.0
0.775,0.743,0.0,0.6654084340902388,1.0,0.0306,0.000868,0.0721,0.177,0.649,0.5719359084167206,audio_features,4Lz7zvtWOXJlJ591pSo7Tu,spotify:track:4Lz7zvtWOXJlJ591pSo7Tu,https://api.spotify.com/v1/tracks/4Lz7zvtWOXJlJ591pSo7Tu,https://api.spotify.com/v1/audio-analysis/4Lz7zvtWOXJlJ591pSo7Tu,324413.0,4.0
0.601,0.846,4.0,1.0,1.0,0.0324,0.0585,1.05e-06,0.0947,0.734,0.5646974033299212,audio_features,5ixQCurcV2gKLqJGMeLvpz,spotify:track:5ixQCurcV2gKLqJGMeLvpz,https://api.spotify.com/v1/tracks/5ixQCurcV2gKLqJGMeLvpz,https://api.spotify.com/v1/audio-analysis/5ixQCurcV2gKLqJGMeLvpz,167240.0,4.0
0.467,0.367,9.0,0.7025656148628723,1.0,0.0298,0.771,2.27e-05,0.0847,0.205,0.0,audio_features,3SPcBPzvbmWLl8NU5efx4W,spotify:track:3SPcBPzvbmWLl8NU5efx4W,https://api.spotify.com/v1/tracks/3SPcBPzvbmWLl8NU5efx4W,https://api.spotify.com/v1/audio-analysis/3SPcBPzvbmWLl8NU5efx4W,280360.0,4.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
