danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.669,0.919,8.0,0.3373003445036016,1.0,0.048,0.00146,0.000263,0.195,0.588,0.7614038653725628,audio_features,6pREwjx7uxswNnkFdlQ4kl,spotify:track:6pREwjx7uxswNnkFdlQ4kl,https://api.spotify.com/v1/tracks/6pREwjx7uxswNnkFdlQ4kl,https://api.spotify.com/v1/audio-analysis/6pREwjx7uxswNnkFdlQ4kl,295987.0,4.0
0.436,0.333,6.0,0.0,1.0,0.0354,0.722,9.61e-06,0.187,0.0609,0.7526635838541931,audio_features,1Hck0Y3AgGLIvv9pRuq3ti,spotify:track:1Hck0Y3AgGLIvv9pRuq3ti,https://api.spotify.com/v1/tracks/1Hck0Y3AgGLIvv9pRuq3ti,https://api.spotify.com/v1/audio-analysis/1Hck0Y3AgGLIvv9pRuq3ti,341800.0,3.0
0.706,0.8,5.0,0.5537112433448168,1.0,0.0399,0.00584,0.0,0.0822,0.629,0.4228365262462522,audio_features,7hhAwcMTdCHxuYkCHCfzw7,spotify:track:7hhAwcMTdCHxuYkCHCfzw7,https://api.spotify.com/v1/tracks/7hhAwcMTdCHxuYkCHCfzw7,https://api.spotify.com/v1/audio-analysis/7hhAwcMTdCHxuYkCHCfzw7,259333.0,4.0
0.586,0.659,0.0,0.3051988725336674,0.0,0.0304,0.011,0.0,0.106,0.147,0.6257262394769382,audio_features,3zYufmyv6HOuiHn1eMR6Ja,spotify:track:3zYufmyv6HOuiHn1eMR6Ja,https://api.spotify.com/v1/tracks/3zYufmyv6HOuiHn1eMR6Ja,https://api.spotify.com/v1/audio-analysis/3zYufmyv6HOuiHn1eMR6Ja,285960.0,4.0
0.574,0.691,6.0,0.7463200751644222,1.0,0.035,0.0826,1.65e-05,0.149,0.195,0.2866168673882479,audio_features,1vmdrRKK1sY1pyzbMeoPwq,spotify:track:1vmdrRKK1sY1pyzbMeoPwq,https://api.spotify.com/v1/tracks/1vmdrRKK1sY1pyzbMeoPwq,https://api.spotify.com/v1/audio-analysis/1vmdrRKK1sY1pyzbMeoPwq,259773.0,4.0
0.129,0.358,10.0,0.5125274036955841,1.0,0.0314,0.631,0.0,0.0886,0.172,0.0,audio_features,7wdLZdLzaYCkUvxkPhFP4Q,spotify:track:7wdLZdLzaYCkUvxkPhFP4Q,https://api.spotify.com/v1/tracks/7wdLZdLzaYCkUvxkPhFP4Q,https://api.spotify.com/v1/audio-analysis/7wdLZdLzaYCkUvxkPhFP4Q,241067.0,5.0
0.5,0.748,4.0,0.1248042593172566,1.0,0.0363,0.127,0.0,0.447,0.514,0.7419753713772719,audio_features,4bHsxqR3GMrXTxEPLuK5ue,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,250987.0,4.0
0.763,0.824,1.0,1.0,0.0,0.0805,0.00416,0.716,0.111,0.562,0.8972508765689313,audio_features,6efYmtQmsHQ06JNYhchaB0,spotify:track:6efYmtQmsHQ06JNYhchaB0,https://api.spotify.com/v1/tracks/6efYmtQmsHQ06JNYhchaB0,https://api.spotify.com/v1/audio-analysis/6efYmtQmsHQ06JNYhchaB0,206290.0,4.0
0.654,0.572,2.0,0.203883495145631,1.0,0.0583,0.0781,0.0,0.143,0.315,1.0,audio_features,16rVD67bWKJS1bCFhcBlM2,spotify:track:16rVD67bWKJS1bCFhcBlM2,https://api.spotify.com/v1/tracks/16rVD67bWKJS1bCFhcBlM2,https://api.spotify.com/v1/audio-analysis/16rVD67bWKJS1bCFhcBlM2,308280.0,4.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
