danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.584,0.594,9,-6.935,1,0.0487,0.142,0.00117,0.105,0.36,143.935,audio_features,7DdXf9x75iEVCHWfoRwRuR,spotify:track:7DdXf9x75iEVCHWfoRwRuR,https://api.spotify.com/v1/tracks/7DdXf9x75iEVCHWfoRwRuR,https://api.spotify.com/v1/audio-analysis/7DdXf9x75iEVCHWfoRwRuR,219400,4
0.653,0.818,5,-8.125,1,0.047,0.00907,0.23,0.0703,0.198,174.984,audio_features,3iDK8BAaBUatPR84gdfa9g,spotify:track:3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/tracks/3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/audio-analysis/3iDK8BAaBUatPR84gdfa9g,266347,4
0.419,0.803,11,-5.498,1,0.246,0.032,3.7e-05,0.206,0.764,86.958,audio_features,5M66BjyDzijqQPLNbyujAt,spotify:track:5M66BjyDzijqQPLNbyujAt,https://api.spotify.com/v1/tracks/5M66BjyDzijqQPLNbyujAt,https://api.spotify.com/v1/audio-analysis/5M66BjyDzijqQPLNbyujAt,160067,4
0.844,0.782,11,-5.979,0,0.279,0.0476,1.36e-05,0.115,0.627,125.913,audio_features,3vLwhsaHXbb2UHa8xSq63y,spotify:track:3vLwhsaHXbb2UHa8xSq63y,https://api.spotify.com/v1/tracks/3vLwhsaHXbb2UHa8xSq63y,https://api.spotify.com/v1/audio-analysis/3vLwhsaHXbb2UHa8xSq63y,203560,4
0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,audio_features,0iTpQYzJnYgh7kIxyq8A2O,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O,243160,4
0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,audio_features,3b00LSFIRqnHvkoDEs5fkg,spotify:track:3b00LSFIRqnHvkoDEs5fkg,https://api.spotify.com/v1/tracks/3b00LSFIRqnHvkoDEs5fkg,https://api.spotify.com/v1/audio-analysis/3b00LSFIRqnHvkoDEs5fkg,208467,4
0.439,0.86,11,-4.824,0,0.168,0.00043,1.68e-05,0.0783,0.578,159.821,audio_features,2jnvdMCTvtdVCci3YLqxGY,spotify:track:2jnvdMCTvtdVCci3YLqxGY,https://api.spotify.com/v1/tracks/2jnvdMCTvtdVCci3YLqxGY,https://api.spotify.com/v1/audio-analysis/2jnvdMCTvtdVCci3YLqxGY,167773,4
0.374,0.806,9,-8.214,0,0.158,0.179,0.000448,0.0647,0.236,139.093,audio_features,493ZpVleSN7MnPyWc8mzUQ,spotify:track:493ZpVleSN7MnPyWc8mzUQ,https://api.spotify.com/v1/tracks/493ZpVleSN7MnPyWc8mzUQ,https://api.spotify.com/v1/audio-analysis/493ZpVleSN7MnPyWc8mzUQ,219276,4
0.575,0.789,6,-8.188,0,0.171,0.0182,0,0.11,0.775,79.512,audio_features,0yMMJ25Gdj2OIJtmkiIU9e,spotify:track:0yMMJ25Gdj2OIJtmkiIU9e,https://api.spotify.com/v1/tracks/0yMMJ25Gdj2OIJtmkiIU9e,https://api.spotify.com/v1/audio-analysis/0yMMJ25Gdj2OIJtmkiIU9e,380034,4
0.795,0.596,11,-3.799,0,0.219,0.103,0,0.164,0.357,101.985,audio_features,6vt0I1cw1YmAIKDJvHVIM5,spotify:track:6vt0I1cw1YmAIKDJvHVIM5,https://api.spotify.com/v1/tracks/6vt0I1cw1YmAIKDJvHVIM5,https://api.spotify.com/v1/audio-analysis/6vt0I1cw1YmAIKDJvHVIM5,326280,4
0.524,0.698,4,-4.964,1,0.0308,0.19,0.00377,0.317,0.472,126.875,audio_features,3MCC9ABe0V1QXTXWwtxjfa,spotify:track:3MCC9ABe0V1QXTXWwtxjfa,https://api.spotify.com/v1/tracks/3MCC9ABe0V1QXTXWwtxjfa,https://api.spotify.com/v1/audio-analysis/3MCC9ABe0V1QXTXWwtxjfa,235133,4
0.478,0.869,4,-6.099,1,0.0586,0.134,0.000909,0.438,0.54,122.026,audio_features,46229uDbjzfzq0jawwawcp,spotify:track:46229uDbjzfzq0jawwawcp,https://api.spotify.com/v1/tracks/46229uDbjzfzq0jawwawcp,https://api.spotify.com/v1/audio-analysis/46229uDbjzfzq0jawwawcp,195493,4
0.534,0.537,4,-6.389,1,0.0261,0.578,0.344,0.135,0.365,109.987,audio_features,3XHMeHOO2lk2E3EV3z8x63,spotify:track:3XHMeHOO2lk2E3EV3z8x63,https://api.spotify.com/v1/tracks/3XHMeHOO2lk2E3EV3z8x63,https://api.spotify.com/v1/audio-analysis/3XHMeHOO2lk2E3EV3z8x63,250347,4
