danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.762,0.611,9.0,0.7491875088314257,0.0,0.0876,0.122,0.000315,0.141,0.386,0.556151990349819,audio_features,32tBNiuuQtkUG5eBWpC0oQ,spotify:track:32tBNiuuQtkUG5eBWpC0oQ,https://api.spotify.com/v1/tracks/32tBNiuuQtkUG5eBWpC0oQ,https://api.spotify.com/v1/audio-analysis/32tBNiuuQtkUG5eBWpC0oQ,206760.0,4.0
0.656,0.692,1.0,0.7009325985587113,0.0,0.0563,0.00212,0.00305,0.128,0.693,0.979598914354644,audio_features,75u9uswC5UMdtv4SQ3xSYf,spotify:track:75u9uswC5UMdtv4SQ3xSYf,https://api.spotify.com/v1/tracks/75u9uswC5UMdtv4SQ3xSYf,https://api.spotify.com/v1/audio-analysis/75u9uswC5UMdtv4SQ3xSYf,227560.0,4.0
0.774,0.75,11.0,0.7869860110216192,0.0,0.0412,0.00207,1.78e-05,0.0808,0.927,0.8287846803377563,audio_features,27L8sESb3KR79asDUBu8nW,spotify:track:27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,197987.0,4.0
0.712,0.649,1.0,0.7992793556591775,1.0,0.063,0.000652,0.0,0.0683,0.616,0.964686369119421,audio_features,1vNn7rVQT6UtEW1NGH53fT,spotify:track:1vNn7rVQT6UtEW1NGH53fT,https://api.spotify.com/v1/tracks/1vNn7rVQT6UtEW1NGH53fT,https://api.spotify.com/v1/audio-analysis/1vNn7rVQT6UtEW1NGH53fT,177093.0,4.0
0.767,0.636,5.0,0.5786350148367951,1.0,0.0969,0.159,5.61e-05,0.0352,0.357,0.7758142340168876,audio_features,152ANCuCtaK7mkhyFubrRG,spotify:track:152ANCuCtaK7mkhyFubrRG,https://api.spotify.com/v1/tracks/152ANCuCtaK7mkhyFubrRG,https://api.spotify.com/v1/audio-analysis/152ANCuCtaK7mkhyFubrRG,323240.0,4.0
0.529,0.127,11.0,0.0,1.0,0.0274,0.611,0.000109,0.237,0.578,0.0,audio_features,3zByVQLvdXUaDTubfWkpCk,spotify:track:3zByVQLvdXUaDTubfWkpCk,https://api.spotify.com/v1/tracks/3zByVQLvdXUaDTubfWkpCk,https://api.spotify.com/v1/audio-analysis/3zByVQLvdXUaDTubfWkpCk,203573.0,4.0
0.825,0.856,1.0,1.0,1.0,0.0476,0.00851,1.4e-06,0.127,0.207,0.9795838359469238,audio_features,1V4jC0vJ5525lEF1bFgPX2,spotify:track:1V4jC0vJ5525lEF1bFgPX2,https://api.spotify.com/v1/tracks/1V4jC0vJ5525lEF1bFgPX2,https://api.spotify.com/v1/audio-analysis/1V4jC0vJ5525lEF1bFgPX2,222133.0,4.0
0.64,0.62,1.0,0.7160519994347886,1.0,0.416,0.016,0.0,0.0831,0.609,1.0,audio_features,0k6HUzaRHpQ3eEWr1C7Esh,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh,https://api.spotify.com/v1/tracks/0k6HUzaRHpQ3eEWr1C7Esh,https://api.spotify.com/v1/audio-analysis/0k6HUzaRHpQ3eEWr1C7Esh,252653.0,5.0
0.755,0.832,2.0,0.9414299844566907,0.0,0.116,0.0746,1.27e-06,0.291,0.735,0.8591978287092882,audio_features,5OMwQFBcte0aWFJFqrr5oj,spotify:track:5OMwQFBcte0aWFJFqrr5oj,https://api.spotify.com/v1/tracks/5OMwQFBcte0aWFJFqrr5oj,https://api.spotify.com/v1/audio-analysis/5OMwQFBcte0aWFJFqrr5oj,199693.0,4.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
