danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.746,0.676,3,-6.293,0,0.0416,0.0595,0.000326,0.067,0.466,121.017,audio_features,4DU9rzgRaYPDrdrWieP5Ko,spotify:track:4DU9rzgRaYPDrdrWieP5Ko,https://api.spotify.com/v1/tracks/4DU9rzgRaYPDrdrWieP5Ko,https://api.spotify.com/v1/audio-analysis/4DU9rzgRaYPDrdrWieP5Ko,497522,4
0.782,0.567,1,-11.553,0,0.0489,0.000108,0.588,0.116,0.177,121.977,audio_features,3jF2x0w0RNIl49w7Jxmaj0,spotify:track:3jF2x0w0RNIl49w7Jxmaj0,https://api.spotify.com/v1/tracks/3jF2x0w0RNIl49w7Jxmaj0,https://api.spotify.com/v1/audio-analysis/3jF2x0w0RNIl49w7Jxmaj0,287613,4
0.576,0.734,0,-7.567,1,0.0319,0.143,0.019,0.219,0.497,139.981,audio_features,3X6lG6K75hPhotAwBCLQrW,spotify:track:3X6lG6K75hPhotAwBCLQrW,https://api.spotify.com/v1/tracks/3X6lG6K75hPhotAwBCLQrW,https://api.spotify.com/v1/audio-analysis/3X6lG6K75hPhotAwBCLQrW,225173,4
0.398,0.93,5,-3.58,1,0.0527,0.0982,0.0851,0.184,0.579,113.851,audio_features,0qhYiJO6devTiAZZFgQv5k,spotify:track:0qhYiJO6devTiAZZFgQv5k,https://api.spotify.com/v1/tracks/0qhYiJO6devTiAZZFgQv5k,https://api.spotify.com/v1/audio-analysis/0qhYiJO6devTiAZZFgQv5k,231640,4
0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,audio_features,758wEKVqfYopJIHYWdLVd4,spotify:track:758wEKVqfYopJIHYWdLVd4,https://api.spotify.com/v1/tracks/758wEKVqfYopJIHYWdLVd4,https://api.spotify.com/v1/audio-analysis/758wEKVqfYopJIHYWdLVd4,292800,4
0.46,0.403,0,-9.12,1,0.061,0.783,0.669,0.783,0.497,128.017,audio_features,5SfpwvdJ66fSdIoOc3jw1g,spotify:track:5SfpwvdJ66fSdIoOc3jw1g,https://api.spotify.com/v1/tracks/5SfpwvdJ66fSdIoOc3jw1g,https://api.spotify.com/v1/audio-analysis/5SfpwvdJ66fSdIoOc3jw1g,236400,4
0.781,0.702,10,-4.176,0,0.0381,0.00211,0.0427,0.0735,0.787,120.148,audio_features,1BfXy0gM3tmB6Jc1QdtaLj,spotify:track:1BfXy0gM3tmB6Jc1QdtaLj,https://api.spotify.com/v1/tracks/1BfXy0gM3tmB6Jc1QdtaLj,https://api.spotify.com/v1/audio-analysis/1BfXy0gM3tmB6Jc1QdtaLj,321496,4
0.767,0.251,2,-15.569,0,0.0499,0.452,0.871,0.101,0.456,125.008,audio_features,5ScdixbHAXZ2WYQlP339jk,spotify:track:5ScdixbHAXZ2WYQlP339jk,https://api.spotify.com/v1/tracks/5ScdixbHAXZ2WYQlP339jk,https://api.spotify.com/v1/audio-analysis/5ScdixbHAXZ2WYQlP339jk,400320,4
0.794,0.595,11,-6.035,0,0.0525,0.0915,0.406,0.0586,0.624,114.011,audio_features,1wW0yMVo6dVxWZkmduKEWC,spotify:track:1wW0yMVo6dVxWZkmduKEWC,https://api.spotify.com/v1/tracks/1wW0yMVo6dVxWZkmduKEWC,https://api.spotify.com/v1/audio-analysis/1wW0yMVo6dVxWZkmduKEWC,427820,4
0.849,0.507,3,-8.763,0,0.0778,0.366,0.686,0.07,0.66,107.982,audio_features,232HDN1OQ12Pdw4qb9wzKu,spotify:track:232HDN1OQ12Pdw4qb9wzKu,https://api.spotify.com/v1/tracks/232HDN1OQ12Pdw4qb9wzKu,https://api.spotify.com/v1/audio-analysis/232HDN1OQ12Pdw4qb9wzKu,324896,4
0.808,0.687,1,-8.179,1,0.0978,0.0252,0.895,0.076,0.322,124.997,audio_features,2Z5E6zwhYhjnpEB1LnoNSj,spotify:track:2Z5E6zwhYhjnpEB1LnoNSj,https://api.spotify.com/v1/tracks/2Z5E6zwhYhjnpEB1LnoNSj,https://api.spotify.com/v1/audio-analysis/2Z5E6zwhYhjnpEB1LnoNSj,419040,4
0.781,0.461,6,-10.135,0,0.0446,0.00503,0.555,0.0694,0.297,120.039,audio_features,0jH9H38v4Oo4Il7rquSSWw,spotify:track:0jH9H38v4Oo4Il7rquSSWw,https://api.spotify.com/v1/tracks/0jH9H38v4Oo4Il7rquSSWw,https://api.spotify.com/v1/audio-analysis/0jH9H38v4Oo4Il7rquSSWw,374000,4
