danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.78,0.575,1,-5.628,0,0.139,0.106,0,0.129,0.273,81.502,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,222360,4
0.892,0.548,6,-8.449,0,0.33,0.139,0,0.114,0.262,112.962,audio_features,5sqHFfmw7MMc1L85BN8802,spotify:track:5sqHFfmw7MMc1L85BN8802,https://api.spotify.com/v1/tracks/5sqHFfmw7MMc1L85BN8802,https://api.spotify.com/v1/audio-analysis/5sqHFfmw7MMc1L85BN8802,288525,4
0.618,0.727,3,-7.224,0,0.208,0.0312,0,0.196,0.401,164.992,audio_features,78sr3ogs4UzITcCNbXM9cM,spotify:track:78sr3ogs4UzITcCNbXM9cM,https://api.spotify.com/v1/tracks/78sr3ogs4UzITcCNbXM9cM,https://api.spotify.com/v1/audio-analysis/78sr3ogs4UzITcCNbXM9cM,180520,4
0.943,0.595,5,-8.372,0,0.191,0.0673,0,0.0839,0.815,117.532,audio_features,34oWbFBfGEElvgO0a5c9V4,spotify:track:34oWbFBfGEElvgO0a5c9V4,https://api.spotify.com/v1/tracks/34oWbFBfGEElvgO0a5c9V4,https://api.spotify.com/v1/audio-analysis/34oWbFBfGEElvgO0a5c9V4,165291,4
0.676,0.415,9,-9.752,1,0.508,0.0281,0,0.0915,0.146,193.206,audio_features,1uDjaezEbalGyGnuH80zDK,spotify:track:1uDjaezEbalGyGnuH80zDK,https://api.spotify.com/v1/tracks/1uDjaezEbalGyGnuH80zDK,https://api.spotify.com/v1/audio-analysis/1uDjaezEbalGyGnuH80zDK,233507,4
0.732,0.703,7,-5.505,1,0.134,0.00379,0,0.144,0.453,145.007,audio_features,6T385iw5Pnwt2MKwPEbdbp,spotify:track:6T385iw5Pnwt2MKwPEbdbp,https://api.spotify.com/v1/tracks/6T385iw5Pnwt2MKwPEbdbp,https://api.spotify.com/v1/audio-analysis/6T385iw5Pnwt2MKwPEbdbp,170675,4
0.58,0.825,7,-3.695,1,0.252,0.192,0,0.0879,0.364,120.033,audio_features,7uYbpT7Wfsu0w1eccEKDvM,spotify:track:7uYbpT7Wfsu0w1eccEKDvM,https://api.spotify.com/v1/tracks/7uYbpT7Wfsu0w1eccEKDvM,https://api.spotify.com/v1/audio-analysis/7uYbpT7Wfsu0w1eccEKDvM,297800,4
0.789,0.801,10,-4.552,0,0.048,0.0052,0.277,0.129,0.281,153.998,audio_features,4Fi7fihVNkHPfBZ7KeSXVH,spotify:track:4Fi7fihVNkHPfBZ7KeSXVH,https://api.spotify.com/v1/tracks/4Fi7fihVNkHPfBZ7KeSXVH,https://api.spotify.com/v1/audio-analysis/4Fi7fihVNkHPfBZ7KeSXVH,172040,4
0.82,0.599,10,-9.796,0,0.141,0.226,0.0489,0.105,0.356,137.022,audio_features,1XWcdNQvGrX32fH09CwuWI,spotify:track:1XWcdNQvGrX32fH09CwuWI,https://api.spotify.com/v1/tracks/1XWcdNQvGrX32fH09CwuWI,https://api.spotify.com/v1/audio-analysis/1XWcdNQvGrX32fH09CwuWI,265038,4
0.635,0.847,7,-3.152,1,0.447,0.533,0,0.154,0.568,166.072,audio_features,7JYsArznYOjX2jsrT3UEnL,spotify:track:7JYsArznYOjX2jsrT3UEnL,https://api.spotify.com/v1/tracks/7JYsArznYOjX2jsrT3UEnL,https://api.spotify.com/v1/audio-analysis/7JYsArznYOjX2jsrT3UEnL,234650,4
