danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.895,0.459,9,-7.8,1,0.0645,0.238,0,0.941,0.793,135.276,audio_features,4VVqD5gzpnt9Yb8AA9Mjjb,spotify:track:4VVqD5gzpnt9Yb8AA9Mjjb,https://api.spotify.com/v1/tracks/4VVqD5gzpnt9Yb8AA9Mjjb,https://api.spotify.com/v1/audio-analysis/4VVqD5gzpnt9Yb8AA9Mjjb,242080,4
0.899,0.399,11,-6.553,1,0.038,0.61,1.52e-05,0.0923,0.544,98.067,audio_features,12jjuxN1gxlm29cqL5M6MW,spotify:track:12jjuxN1gxlm29cqL5M6MW,https://api.spotify.com/v1/tracks/12jjuxN1gxlm29cqL5M6MW,https://api.spotify.com/v1/audio-analysis/12jjuxN1gxlm29cqL5M6MW,179347,4
0.554,0.179,6,-18.254,1,0.0362,0.937,0.024,0.107,0.374,141.946,audio_features,3piY5aMfwEEmXMV6I9kpoi,spotify:track:3piY5aMfwEEmXMV6I9kpoi,https://api.spotify.com/v1/tracks/3piY5aMfwEEmXMV6I9kpoi,https://api.spotify.com/v1/audio-analysis/3piY5aMfwEEmXMV6I9kpoi,219080,4
0.78,0.386,0,-9.29,1,0.0465,0.631,2.64e-05,0.0955,0.427,75.014,audio_features,4VQu1ooCteGDynSZYUgvT4,spotify:track:4VQu1ooCteGDynSZYUgvT4,https://api.spotify.com/v1/tracks/4VQu1ooCteGDynSZYUgvT4,https://api.spotify.com/v1/audio-analysis/4VQu1ooCteGDynSZYUgvT4,212707,4
0.622,0.621,2,-8.71,1,0.0307,0.585,7.92e-05,0.292,0.749,149.985,audio_features,5yCrrN0GiJjHkRJGWw5D13,spotify:track:5yCrrN0GiJjHkRJGWw5D13,https://api.spotify.com/v1/tracks/5yCrrN0GiJjHkRJGWw5D13,https://api.spotify.com/v1/audio-analysis/5yCrrN0GiJjHkRJGWw5D13,182000,4
0.698,0.286,0,-7.632,1,0.0553,0.927,0,0.0883,0.529,135.032,audio_features,6zYqyOJuyXDOvWJwKkZ8tg,spotify:track:6zYqyOJuyXDOvWJwKkZ8tg,https://api.spotify.com/v1/tracks/6zYqyOJuyXDOvWJwKkZ8tg,https://api.spotify.com/v1/audio-analysis/6zYqyOJuyXDOvWJwKkZ8tg,148400,4
0.882,0.256,5,-9.2,1,0.0426,0.747,4.52e-06,0.109,0.273,119.94,audio_features,6jlgnaFD0xYZJ92cvskgFc,spotify:track:6jlgnaFD0xYZJ92cvskgFc,https://api.spotify.com/v1/tracks/6jlgnaFD0xYZJ92cvskgFc,https://api.spotify.com/v1/audio-analysis/6jlgnaFD0xYZJ92cvskgFc,135267,4
0.821,0.788,4,-6.747,1,0.0484,0.127,0,0.117,0.933,133.019,audio_features,5riOR1HUcAulEusPRtIlhe,spotify:track:5riOR1HUcAulEusPRtIlhe,https://api.spotify.com/v1/tracks/5riOR1HUcAulEusPRtIlhe,https://api.spotify.com/v1/audio-analysis/5riOR1HUcAulEusPRtIlhe,148080,4
0.603,0.823,8,-6.06,1,0.0356,0.0337,5.31e-06,0.0458,0.741,85.006,audio_features,5lRtoB4Gg2gpT1EjAWOui7,spotify:track:5lRtoB4Gg2gpT1EjAWOui7,https://api.spotify.com/v1/tracks/5lRtoB4Gg2gpT1EjAWOui7,https://api.spotify.com/v1/audio-analysis/5lRtoB4Gg2gpT1EjAWOui7,221533,4
0.745,0.632,11,-6.756,1,0.032,0.456,0,0.0841,0.437,95.012,audio_features,1iNEjDQp0ESOeVjgyFJpDO,spotify:track:1iNEjDQp0ESOeVjgyFJpDO,https://api.spotify.com/v1/tracks/1iNEjDQp0ESOeVjgyFJpDO,https://api.spotify.com/v1/audio-analysis/1iNEjDQp0ESOeVjgyFJpDO,208427,4
0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,audio_features,7jJH8F3PHlNvxfqEAAfFDl,spotify:track:7jJH8F3PHlNvxfqEAAfFDl,https://api.spotify.com/v1/tracks/7jJH8F3PHlNvxfqEAAfFDl,https://api.spotify.com/v1/audio-analysis/7jJH8F3PHlNvxfqEAAfFDl,218573,4
0.676,0.762,1,-4.172,1,0.0351,0.461,0,0.0574,0.81,119.003,audio_features,3VA8T3rNy5V24AXxNK5u9E,spotify:track:3VA8T3rNy5V24AXxNK5u9E,https://api.spotify.com/v1/tracks/3VA8T3rNy5V24AXxNK5u9E,https://api.spotify.com/v1/audio-analysis/3VA8T3rNy5V24AXxNK5u9E,207493,4
0.689,0.496,0,-8.168,1,0.0401,0.212,0.000242,0.356,0.229,123.999,audio_features,2M8I0IarOzov471o2bcy2g,spotify:track:2M8I0IarOzov471o2bcy2g,https://api.spotify.com/v1/tracks/2M8I0IarOzov471o2bcy2g,https://api.spotify.com/v1/audio-analysis/2M8I0IarOzov471o2bcy2g,286452,4
0.627,0.518,10,-5.697,1,0.048,0.508,0,0.11,0.895,108.09,audio_features,0XBWqI013UslporJYfz733,spotify:track:0XBWqI013UslporJYfz733,https://api.spotify.com/v1/tracks/0XBWqI013UslporJYfz733,https://api.spotify.com/v1/audio-analysis/0XBWqI013UslporJYfz733,265200,4
0.654,0.625,3,-9.827,1,0.0369,0.8,0.000152,0.108,0.623,109.009,audio_features,4xUsNE1QeUxuFyk4z8g8TE,spotify:track:4xUsNE1QeUxuFyk4z8g8TE,https://api.spotify.com/v1/tracks/4xUsNE1QeUxuFyk4z8g8TE,https://api.spotify.com/v1/audio-analysis/4xUsNE1QeUxuFyk4z8g8TE,220480,4
0.688,0.477,9,-6.684,1,0.036,0.594,0,0.115,0.257,127.866,audio_features,1lkvpmrCaXK8QtliFDcHBO,spotify:track:1lkvpmrCaXK8QtliFDcHBO,https://api.spotify.com/v1/tracks/1lkvpmrCaXK8QtliFDcHBO,https://api.spotify.com/v1/audio-analysis/1lkvpmrCaXK8QtliFDcHBO,196227,4
