danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.635,0.37,0,-12.123,1,0.0359,0.419,3.05e-05,0.652,0.661,124.439,audio_features,2eIk5ky8THuVeQg5Z5eVav,spotify:track:2eIk5ky8THuVeQg5Z5eVav,https://api.spotify.com/v1/tracks/2eIk5ky8THuVeQg5Z5eVav,https://api.spotify.com/v1/audio-analysis/2eIk5ky8THuVeQg5Z5eVav,192333,4
0.877,0.506,0,-7.368,1,0.0404,0.335,2.79e-05,0.0723,0.653,132.055,audio_features,7f18QFVkxS0lXSXlDhVRqG,spotify:track:7f18QFVkxS0lXSXlDhVRqG,https://api.spotify.com/v1/tracks/7f18QFVkxS0lXSXlDhVRqG,https://api.spotify.com/v1/audio-analysis/7f18QFVkxS0lXSXlDhVRqG,269091,4
0.334,0.477,0,-8.806,1,0.0276,0.618,4.17e-06,0.312,0.405,179.239,audio_features,78WVLOP9pN0G3gRLFy1rAa,spotify:track:78WVLOP9pN0G3gRLFy1rAa,https://api.spotify.com/v1/tracks/78WVLOP9pN0G3gRLFy1rAa,https://api.spotify.com/v1/audio-analysis/78WVLOP9pN0G3gRLFy1rAa,336200,3
0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,audio_features,6ooluO7DiEhI1zmK94nRCM,spotify:track:6ooluO7DiEhI1zmK94nRCM,https://api.spotify.com/v1/tracks/6ooluO7DiEhI1zmK94nRCM,https://api.spotify.com/v1/audio-analysis/6ooluO7DiEhI1zmK94nRCM,237027,4
0.862,0.533,6,-13.566,1,0.15,0.0501,0,0.227,0.777,106.928,audio_features,4IC7QVcYO9Vuu35Oj5eQuM,spotify:track:4IC7QVcYO9Vuu35Oj5eQuM,https://api.spotify.com/v1/tracks/4IC7QVcYO9Vuu35Oj5eQuM,https://api.spotify.com/v1/audio-analysis/4IC7QVcYO9Vuu35Oj5eQuM,213267,4
0.727,0.685,11,-7.159,0,0.0398,0.0351,4.43e-05,0.0973,0.812,88.75,audio_features,4aKIs5t9TqP59btlCGPrgw,spotify:track:4aKIs5t9TqP59btlCGPrgw,https://api.spotify.com/v1/tracks/4aKIs5t9TqP59btlCGPrgw,https://api.spotify.com/v1/audio-analysis/4aKIs5t9TqP59btlCGPrgw,271893,4
0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,audio_features,5ihS6UUlyQAfmp48eSkxuQ,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,https://api.spotify.com/v1/tracks/5ihS6UUlyQAfmp48eSkxuQ,https://api.spotify.com/v1/audio-analysis/5ihS6UUlyQAfmp48eSkxuQ,199493,4
0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000,4
0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,audio_features,3G7tRC24Uh09Hmp1KZ7LQ2,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2,167373,4
0.476,0.381,5,-10.238,0,0.0342,0.727,0,0.0614,0.33,121.948,audio_features,3gsCAGsWr6pUm1Vy7CPPob,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/audio-analysis/3gsCAGsWr6pUm1Vy7CPPob,286920,4
0.885,0.477,6,-9.196,0,0.0664,0.000131,0.000664,0.336,0.691,130.078,audio_features,4c0rkFPszqQTyC753tsCMU,spotify:track:4c0rkFPszqQTyC753tsCMU,https://api.spotify.com/v1/tracks/4c0rkFPszqQTyC753tsCMU,https://api.spotify.com/v1/audio-analysis/4c0rkFPszqQTyC753tsCMU,346840,4
