danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.61,0.876,0,-4.244,1,0.0394,0.0247,0,0.31,0.783,115.05,audio_features,6ll39ALTlddWWQZLjSFlwM,spotify:track:6ll39ALTlddWWQZLjSFlwM,https://api.spotify.com/v1/tracks/6ll39ALTlddWWQZLjSFlwM,https://api.spotify.com/v1/audio-analysis/6ll39ALTlddWWQZLjSFlwM,180347,4
0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,2xYlyywNgefLCRDG8hlxZq,spotify:track:2xYlyywNgefLCRDG8hlxZq,https://api.spotify.com/v1/tracks/2xYlyywNgefLCRDG8hlxZq,https://api.spotify.com/v1/audio-analysis/2xYlyywNgefLCRDG8hlxZq,197813,4
0.576,0.842,4,-5.914,1,0.0441,0.00878,2.3e-05,0.104,0.537,136.877,audio_features,2cdApPfeTSJE4X0Z2rVlWz,spotify:track:2cdApPfeTSJE4X0Z2rVlWz,https://api.spotify.com/v1/tracks/2cdApPfeTSJE4X0Z2rVlWz,https://api.spotify.com/v1/audio-analysis/2cdApPfeTSJE4X0Z2rVlWz,206253,4
0.488,0.923,2,-3.697,1,0.103,0.129,0,0.158,0.818,183.891,audio_features,296XGtH5MeGisqD3uAz6Q6,spotify:track:296XGtH5MeGisqD3uAz6Q6,https://api.spotify.com/v1/tracks/296XGtH5MeGisqD3uAz6Q6,https://api.spotify.com/v1/audio-analysis/296XGtH5MeGisqD3uAz6Q6,202253,4
0.431,0.437,9,-7.677,1,0.029,0.335,0,0.104,0.123,145.616,audio_features,1PXKOMypD5nXcCZk3zaRB1,spotify:track:1PXKOMypD5nXcCZk3zaRB1,https://api.spotify.com/v1/tracks/1PXKOMypD5nXcCZk3zaRB1,https://api.spotify.com/v1/audio-analysis/1PXKOMypD5nXcCZk3zaRB1,229147,4
0.441,0.833,3,-3.837,1,0.035,0.138,0,0.209,0.802,178.089,audio_features,6RVmOHwz12bCma9jqMpZ8f,spotify:track:6RVmOHwz12bCma9jqMpZ8f,https://api.spotify.com/v1/tracks/6RVmOHwz12bCma9jqMpZ8f,https://api.spotify.com/v1/audio-analysis/6RVmOHwz12bCma9jqMpZ8f,216560,4
0.41,0.529,9,-6.241,1,0.0294,0.119,0,0.0741,0.248,147.882,audio_features,2ruFSNVfeUgYdbo1Nhm8PI,spotify:track:2ruFSNVfeUgYdbo1Nhm8PI,https://api.spotify.com/v1/tracks/2ruFSNVfeUgYdbo1Nhm8PI,https://api.spotify.com/v1/audio-analysis/2ruFSNVfeUgYdbo1Nhm8PI,280853,4
0.464,0.405,7,-12.538,1,0.033,0.208,1.1e-05,0.0611,0.514,95.852,audio_features,6ZijsJ9Oh0xgOdY0O1xCWN,spotify:track:6ZijsJ9Oh0xgOdY0O1xCWN,https://api.spotify.com/v1/tracks/6ZijsJ9Oh0xgOdY0O1xCWN,https://api.spotify.com/v1/audio-analysis/6ZijsJ9Oh0xgOdY0O1xCWN,236427,4
0.564,0.76,6,-5.667,1,0.0277,0.0676,0,0.144,0.528,134.015,audio_features,4mnuiEDq1ADXUTYWJxLo4B,spotify:track:4mnuiEDq1ADXUTYWJxLo4B,https://api.spotify.com/v1/tracks/4mnuiEDq1ADXUTYWJxLo4B,https://api.spotify.com/v1/audio-analysis/4mnuiEDq1ADXUTYWJxLo4B,231693,4
0.663,0.814,2,-4.987,1,0.0466,0.0653,0.000252,0.0823,0.547,111.97,audio_features,2rg3yLJKN5Yl4JCHHkMgeC,spotify:track:2rg3yLJKN5Yl4JCHHkMgeC,https://api.spotify.com/v1/tracks/2rg3yLJKN5Yl4JCHHkMgeC,https://api.spotify.com/v1/audio-analysis/2rg3yLJKN5Yl4JCHHkMgeC,200373,4
0.691,0.571,7,-7.836,1,0.0283,0.075,0,0.0805,0.484,105.968,audio_features,4XTeErqgyz0qFDfVodhhe3,spotify:track:4XTeErqgyz0qFDfVodhhe3,https://api.spotify.com/v1/tracks/4XTeErqgyz0qFDfVodhhe3,https://api.spotify.com/v1/audio-analysis/4XTeErqgyz0qFDfVodhhe3,238680,3
0.672,0.73,0,-7.754,1,0.0437,0.133,7.14e-06,0.234,0.629,114.205,audio_features,19IWlf2fAnoytqlLwt9Ihs,spotify:track:19IWlf2fAnoytqlLwt9Ihs,https://api.spotify.com/v1/tracks/19IWlf2fAnoytqlLwt9Ihs,https://api.spotify.com/v1/audio-analysis/19IWlf2fAnoytqlLwt9Ihs,179067,4
0.663,0.814,2,-4.987,1,0.0466,0.0653,0.000252,0.0823,0.547,111.97,audio_features,2rg3yLJKN5Yl4JCHHkMgeC,spotify:track:2rg3yLJKN5Yl4JCHHkMgeC,https://api.spotify.com/v1/tracks/2rg3yLJKN5Yl4JCHHkMgeC,https://api.spotify.com/v1/audio-analysis/2rg3yLJKN5Yl4JCHHkMgeC,200373,4
