danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.398,0.428,5,-8.292,0,0.0275,0.846,0.0338,0.185,0.111,81.017,audio_features,5R65WfxdtxpTNSIloTfIdM,spotify:track:5R65WfxdtxpTNSIloTfIdM,https://api.spotify.com/v1/tracks/5R65WfxdtxpTNSIloTfIdM,https://api.spotify.com/v1/audio-analysis/5R65WfxdtxpTNSIloTfIdM,280653,3
0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,audio_features,2LMkwUfqC6S6s6qDVlEuzV,spotify:track:2LMkwUfqC6S6s6qDVlEuzV,https://api.spotify.com/v1/tracks/2LMkwUfqC6S6s6qDVlEuzV,https://api.spotify.com/v1/audio-analysis/2LMkwUfqC6S6s6qDVlEuzV,248808,4
0.539,0.0487,2,-23.168,1,0.0512,0.994,0.977,0.0961,0.565,97.71,audio_features,5u2TmD4npmQiE8pYbjLEbc,spotify:track:5u2TmD4npmQiE8pYbjLEbc,https://api.spotify.com/v1/tracks/5u2TmD4npmQiE8pYbjLEbc,https://api.spotify.com/v1/audio-analysis/5u2TmD4npmQiE8pYbjLEbc,102060,4
0.389,0.314,2,-8.559,1,0.0345,0.772,0.576,0.109,0.107,95.641,audio_features,7L4w1yQnlhqo4oUjpW53wz,spotify:track:7L4w1yQnlhqo4oUjpW53wz,https://api.spotify.com/v1/tracks/7L4w1yQnlhqo4oUjpW53wz,https://api.spotify.com/v1/audio-analysis/7L4w1yQnlhqo4oUjpW53wz,228080,4
0.297,0.43,11,-6.828,0,0.0377,0.224,0.000686,0.228,0.145,119.943,audio_features,0H9k5RFDiHzL0WTPBk7Xz8,spotify:track:0H9k5RFDiHzL0WTPBk7Xz8,https://api.spotify.com/v1/tracks/0H9k5RFDiHzL0WTPBk7Xz8,https://api.spotify.com/v1/audio-analysis/0H9k5RFDiHzL0WTPBk7Xz8,186093,4
0.533,0.0736,6,-16.162,1,0.0403,0.981,0.251,0.111,0.307,140.806,audio_features,6ZegFdGzxpk9gIgC043chO,spotify:track:6ZegFdGzxpk9gIgC043chO,https://api.spotify.com/v1/tracks/6ZegFdGzxpk9gIgC043chO,https://api.spotify.com/v1/audio-analysis/6ZegFdGzxpk9gIgC043chO,277133,4
0.432,0.0993,0,-14.688,1,0.0459,0.981,0.0287,0.132,0.155,81.436,audio_features,5qZVuornKKdSdsHPnsJjWT,spotify:track:5qZVuornKKdSdsHPnsJjWT,https://api.spotify.com/v1/tracks/5qZVuornKKdSdsHPnsJjWT,https://api.spotify.com/v1/audio-analysis/5qZVuornKKdSdsHPnsJjWT,213252,4
0.485,0.208,6,-10.049,1,0.0295,0.809,0.000147,0.138,0.136,92.942,audio_features,4lomrPZgyfrilub7E92rdj,spotify:track:4lomrPZgyfrilub7E92rdj,https://api.spotify.com/v1/tracks/4lomrPZgyfrilub7E92rdj,https://api.spotify.com/v1/audio-analysis/4lomrPZgyfrilub7E92rdj,119493,4
0.296,0.502,0,-8.653,0,0.0336,0.315,0.0551,0.229,0.313,81.045,audio_features,1rOlTL4pKQ9Y1fURua4AJR,spotify:track:1rOlTL4pKQ9Y1fURua4AJR,https://api.spotify.com/v1/tracks/1rOlTL4pKQ9Y1fURua4AJR,https://api.spotify.com/v1/audio-analysis/1rOlTL4pKQ9Y1fURua4AJR,287240,4
0.53,0.219,7,-13.508,1,0.0284,0.911,0.00289,0.348,0.656,77.629,audio_features,2qcn4mCwrxKOxxRSgPFL7M,spotify:track:2qcn4mCwrxKOxxRSgPFL7M,https://api.spotify.com/v1/tracks/2qcn4mCwrxKOxxRSgPFL7M,https://api.spotify.com/v1/audio-analysis/2qcn4mCwrxKOxxRSgPFL7M,134168,4
0.354,0.263,0,-8.506,1,0.0483,0.848,0.724,0.115,0.118,79.957,audio_features,3WtB2who5tPeyzpe2rAoPk,spotify:track:3WtB2who5tPeyzpe2rAoPk,https://api.spotify.com/v1/tracks/3WtB2who5tPeyzpe2rAoPk,https://api.spotify.com/v1/audio-analysis/3WtB2who5tPeyzpe2rAoPk,236000,4
