danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.567,0.692,4,-5.367,1,0.0309,0.00615,3.61e-06,0.148,0.595,92.984,audio_features,3f0RY3OpJTrRoMlAVIj490,spotify:track:3f0RY3OpJTrRoMlAVIj490,https://api.spotify.com/v1/tracks/3f0RY3OpJTrRoMlAVIj490,https://api.spotify.com/v1/audio-analysis/3f0RY3OpJTrRoMlAVIj490,197136,4
0.707,0.63,10,-6.545,1,0.0334,0.0497,3.15e-06,0.116,0.727,96.003,audio_features,6ZL81xHZNBRYM7MO3tiVTP,spotify:track:6ZL81xHZNBRYM7MO3tiVTP,https://api.spotify.com/v1/tracks/6ZL81xHZNBRYM7MO3tiVTP,https://api.spotify.com/v1/audio-analysis/6ZL81xHZNBRYM7MO3tiVTP,215191,4
0.678,0.734,0,-5.98,1,0.0423,0.00426,0.00248,0.247,0.841,108.008,audio_features,54NiwRXANEHeiU1xVMQivt,spotify:track:54NiwRXANEHeiU1xVMQivt,https://api.spotify.com/v1/tracks/54NiwRXANEHeiU1xVMQivt,https://api.spotify.com/v1/audio-analysis/54NiwRXANEHeiU1xVMQivt,186267,4
0.509,0.842,10,-4.611,0,0.102,0.205,0,0.185,0.356,149.843,audio_features,6UMX0iTW6kpJ7UnVlHKi9y,spotify:track:6UMX0iTW6kpJ7UnVlHKi9y,https://api.spotify.com/v1/tracks/6UMX0iTW6kpJ7UnVlHKi9y,https://api.spotify.com/v1/audio-analysis/6UMX0iTW6kpJ7UnVlHKi9y,220000,4
0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4
0.634,0.832,11,-3.879,0,0.0463,0.0815,0,0.429,0.772,145.966,audio_features,5efvxYn0J1q8iuIZBqpDD7,spotify:track:5efvxYn0J1q8iuIZBqpDD7,https://api.spotify.com/v1/tracks/5efvxYn0J1q8iuIZBqpDD7,https://api.spotify.com/v1/audio-analysis/5efvxYn0J1q8iuIZBqpDD7,205693,4
0.447,0.216,11,-12.815,0,0.0508,0.66,0.011,0.139,0.0396,134.868,audio_features,58nxGpcCfNDiqmFXklOslz,spotify:track:58nxGpcCfNDiqmFXklOslz,https://api.spotify.com/v1/tracks/58nxGpcCfNDiqmFXklOslz,https://api.spotify.com/v1/audio-analysis/58nxGpcCfNDiqmFXklOslz,200898,4
0.586,0.391,11,-8.772,0,0.224,0.535,0.000282,0.115,0.339,89.974,audio_features,6GehIyYyvHcfhNIG11SU3U,spotify:track:6GehIyYyvHcfhNIG11SU3U,https://api.spotify.com/v1/tracks/6GehIyYyvHcfhNIG11SU3U,https://api.spotify.com/v1/audio-analysis/6GehIyYyvHcfhNIG11SU3U,170852,4
0.671,0.38,4,-10.973,0,0.0844,0.345,6.59e-05,0.302,0.267,124.89,audio_features,3CtCEiLXME6V5ztyobwqfv,spotify:track:3CtCEiLXME6V5ztyobwqfv,https://api.spotify.com/v1/tracks/3CtCEiLXME6V5ztyobwqfv,https://api.spotify.com/v1/audio-analysis/3CtCEiLXME6V5ztyobwqfv,194711,4
0.737,0.872,0,-4.896,0,0.279,0.06,0.000234,0.102,0.642,147.986,audio_features,283KaBLRIqbmmzaq8c7Ci2,spotify:track:283KaBLRIqbmmzaq8c7Ci2,https://api.spotify.com/v1/tracks/283KaBLRIqbmmzaq8c7Ci2,https://api.spotify.com/v1/audio-analysis/283KaBLRIqbmmzaq8c7Ci2,267374,4
0.148,0.268,5,-16.55,1,0.036,0.668,0.0151,0.113,0.145,178.038,audio_features,6swBtLlqbXVbtVFeHZnI5X,spotify:track:6swBtLlqbXVbtVFeHZnI5X,https://api.spotify.com/v1/tracks/6swBtLlqbXVbtVFeHZnI5X,https://api.spotify.com/v1/audio-analysis/6swBtLlqbXVbtVFeHZnI5X,203080,1
