danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.186,0.952,4.0,0.7124453646192777,0.0,0.196,0.0025,0.0,0.544,0.339,0.8426741471644076,audio_features,10bSodWJ0q2c63ECltBhIN,spotify:track:10bSodWJ0q2c63ECltBhIN,https://api.spotify.com/v1/tracks/10bSodWJ0q2c63ECltBhIN,https://api.spotify.com/v1/audio-analysis/10bSodWJ0q2c63ECltBhIN,222853.0,3.0
0.479,0.955,9.0,0.5951230733839429,0.0,0.0815,0.00139,1.85e-06,0.112,0.149,0.6471545991329422,audio_features,769WTLxwfDPbQWl6FzXQ2h,spotify:track:769WTLxwfDPbQWl6FzXQ2h,https://api.spotify.com/v1/tracks/769WTLxwfDPbQWl6FzXQ2h,https://api.spotify.com/v1/audio-analysis/769WTLxwfDPbQWl6FzXQ2h,227600.0,3.0
0.363,0.953,0.0,0.6800092017483322,1.0,0.232,0.00113,7.89e-06,0.923,0.485,1.0,audio_features,4T92IyxCyr7xYRN8DOQyJM,spotify:track:4T92IyxCyr7xYRN8DOQyJM,https://api.spotify.com/v1/tracks/4T92IyxCyr7xYRN8DOQyJM,https://api.spotify.com/v1/audio-analysis/4T92IyxCyr7xYRN8DOQyJM,215947.0,4.0
0.575,0.956,4.0,0.7027835288704853,0.0,0.0516,0.000453,0.0,0.353,0.665,0.2353218117974773,audio_features,2IssKIVClBbn6MOge74T3h,spotify:track:2IssKIVClBbn6MOge74T3h,https://api.spotify.com/v1/tracks/2IssKIVClBbn6MOge74T3h,https://api.spotify.com/v1/audio-analysis/2IssKIVClBbn6MOge74T3h,168040.0,4.0
0.536,0.925,4.0,0.7913503565677479,0.0,0.0561,0.00142,1.52e-06,0.303,0.565,0.4895933460187927,audio_features,3yI2yqaK2QfQouc84mBYv9,spotify:track:3yI2yqaK2QfQouc84mBYv9,https://api.spotify.com/v1/tracks/3yI2yqaK2QfQouc84mBYv9,https://api.spotify.com/v1/audio-analysis/3yI2yqaK2QfQouc84mBYv9,194627.0,4.0
0.627,0.376,0.0,0.0,1.0,0.026,0.428,0.0,0.124,0.499,0.0,audio_features,3UNpuMVr2aSWu3Fzj2846p,spotify:track:3UNpuMVr2aSWu3Fzj2846p,https://api.spotify.com/v1/tracks/3UNpuMVr2aSWu3Fzj2846p,https://api.spotify.com/v1/audio-analysis/3UNpuMVr2aSWu3Fzj2846p,279293.0,4.0
0.475,0.979,5.0,0.8509316770186335,1.0,0.0613,0.00146,0.0,0.511,0.394,0.6079408360633226,audio_features,6gWnbqyUi5SFhfLoC5No6d,spotify:track:6gWnbqyUi5SFhfLoC5No6d,https://api.spotify.com/v1/tracks/6gWnbqyUi5SFhfLoC5No6d,https://api.spotify.com/v1/audio-analysis/6gWnbqyUi5SFhfLoC5No6d,220293.0,3.0
0.422,0.95,4.0,0.7757073844030365,1.0,0.0521,0.000884,0.000313,0.106,0.148,0.0289051925378111,audio_features,7dPXxB6RX5qnUQI8ZHeleL,spotify:track:7dPXxB6RX5qnUQI8ZHeleL,https://api.spotify.com/v1/tracks/7dPXxB6RX5qnUQI8ZHeleL,https://api.spotify.com/v1/audio-analysis/7dPXxB6RX5qnUQI8ZHeleL,277027.0,4.0
0.37,0.991,2.0,1.0,1.0,0.22,0.000494,4.82e-06,0.361,0.298,0.861672911312945,audio_features,3ZBeZ4KOaEjxHmXAStc9WN,spotify:track:3ZBeZ4KOaEjxHmXAStc9WN,https://api.spotify.com/v1/tracks/3ZBeZ4KOaEjxHmXAStc9WN,https://api.spotify.com/v1/audio-analysis/3ZBeZ4KOaEjxHmXAStc9WN,194680.0,4.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
