danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.446,0.692,4,-6.829,1,0.027,0.101,5.92e-05,0.15,0.476,147.872,audio_features,7F2irUt5wiN3cPK6YgkILk,spotify:track:7F2irUt5wiN3cPK6YgkILk,https://api.spotify.com/v1/tracks/7F2irUt5wiN3cPK6YgkILk,https://api.spotify.com/v1/audio-analysis/7F2irUt5wiN3cPK6YgkILk,263520,4
0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,audio_features,612VcBshQcy4mpB2utGc3H,spotify:track:612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,280000,4
0.482,0.807,0,-6.976,1,0.0457,0.0281,0,0.177,0.516,187.918,audio_features,75HZ6Wxnw8xbgz6HU9kKCS,spotify:track:75HZ6Wxnw8xbgz6HU9kKCS,https://api.spotify.com/v1/tracks/75HZ6Wxnw8xbgz6HU9kKCS,https://api.spotify.com/v1/audio-analysis/75HZ6Wxnw8xbgz6HU9kKCS,254547,4
0.52,0.363,1,-12.655,1,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,audio_features,76qB2ZEZlEJAMqMqUjKusp,spotify:track:76qB2ZEZlEJAMqMqUjKusp,https://api.spotify.com/v1/tracks/76qB2ZEZlEJAMqMqUjKusp,https://api.spotify.com/v1/audio-analysis/76qB2ZEZlEJAMqMqUjKusp,393640,4
0.571,0.686,6,-6.698,1,0.027,0.00403,0.00105,0.22,0.352,110.022,audio_features,0T8ibs120UwmNjAjaUg3XV,spotify:track:0T8ibs120UwmNjAjaUg3XV,https://api.spotify.com/v1/tracks/0T8ibs120UwmNjAjaUg3XV,https://api.spotify.com/v1/audio-analysis/0T8ibs120UwmNjAjaUg3XV,256133,4
0.24,0.444,11,-7.11,0,0.0315,0.493,0.154,0.108,0.0649,80.727,audio_features,0nSDcFXRgTHnY6xpBPxlnj,spotify:track:0nSDcFXRgTHnY6xpBPxlnj,https://api.spotify.com/v1/tracks/0nSDcFXRgTHnY6xpBPxlnj,https://api.spotify.com/v1/audio-analysis/0nSDcFXRgTHnY6xpBPxlnj,354173,4
0.56,0.733,10,-7.094,1,0.0317,0.0273,2.09e-05,0.253,0.331,132.956,audio_features,4qBCD7TslV1KdiFpT9cbnm,spotify:track:4qBCD7TslV1KdiFpT9cbnm,https://api.spotify.com/v1/tracks/4qBCD7TslV1KdiFpT9cbnm,https://api.spotify.com/v1/audio-analysis/4qBCD7TslV1KdiFpT9cbnm,293507,4
0.645,0.264,0,-10.075,1,0.0266,0.497,0.064,0.113,0.221,76.025,audio_features,2FFYeeIB7Vxj5qL8xr7Kd6,spotify:track:2FFYeeIB7Vxj5qL8xr7Kd6,https://api.spotify.com/v1/tracks/2FFYeeIB7Vxj5qL8xr7Kd6,https://api.spotify.com/v1/audio-analysis/2FFYeeIB7Vxj5qL8xr7Kd6,219973,4
0.441,0.878,5,-4.065,1,0.0319,0.000631,6.24e-05,0.131,0.554,110.009,audio_features,6u0uHqdlBqky2FTAts9san,spotify:track:6u0uHqdlBqky2FTAts9san,https://api.spotify.com/v1/tracks/6u0uHqdlBqky2FTAts9san,https://api.spotify.com/v1/audio-analysis/6u0uHqdlBqky2FTAts9san,262853,4
0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,audio_features,3kEQyPfmFknzr0pRBWxWxu,spotify:track:3kEQyPfmFknzr0pRBWxWxu,https://api.spotify.com/v1/tracks/3kEQyPfmFknzr0pRBWxWxu,https://api.spotify.com/v1/audio-analysis/3kEQyPfmFknzr0pRBWxWxu,277653,4
0.659,0.758,0,-6.424,1,0.0448,0.0502,8.79e-05,0.0822,0.562,122.945,audio_features,5C8Vwr9o1WtsoDVPFqPCob,spotify:track:5C8Vwr9o1WtsoDVPFqPCob,https://api.spotify.com/v1/tracks/5C8Vwr9o1WtsoDVPFqPCob,https://api.spotify.com/v1/audio-analysis/5C8Vwr9o1WtsoDVPFqPCob,241333,4
0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,audio_features,5oUV6yWdDM0R9Q2CizRhIt,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,231173,4
0.546,0.878,7,-5.137,1,0.0525,0.0133,0,0.135,0.35,119.945,audio_features,48bo7uexDvAThcRDvEB2W7,spotify:track:48bo7uexDvAThcRDvEB2W7,https://api.spotify.com/v1/tracks/48bo7uexDvAThcRDvEB2W7,https://api.spotify.com/v1/audio-analysis/48bo7uexDvAThcRDvEB2W7,255400,4
0.413,0.707,2,-8.65,1,0.0375,0.0232,2.84e-06,0.293,0.494,94.614,audio_features,1yMpbmFpPC4Y8qMjtalnXf,spotify:track:1yMpbmFpPC4Y8qMjtalnXf,https://api.spotify.com/v1/tracks/1yMpbmFpPC4Y8qMjtalnXf,https://api.spotify.com/v1/audio-analysis/1yMpbmFpPC4Y8qMjtalnXf,200173,4
