danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.46,0.199,6.0,0.484189418479099,1.0,0.0349,0.897,1.02e-05,0.12,0.412,0.7108346418649595,audio_features,7gRiW3eFoQWUNe5h7ggGHt,spotify:track:7gRiW3eFoQWUNe5h7ggGHt,https://api.spotify.com/v1/tracks/7gRiW3eFoQWUNe5h7ggGHt,https://api.spotify.com/v1/audio-analysis/7gRiW3eFoQWUNe5h7ggGHt,211413.0,3.0
0.316,0.413,11.0,0.3819219497146384,1.0,0.0334,0.856,0.00227,0.143,0.245,0.7239602206385634,audio_features,3pGsDSDbAZSLlUGizoKTOK,spotify:track:3pGsDSDbAZSLlUGizoKTOK,https://api.spotify.com/v1/tracks/3pGsDSDbAZSLlUGizoKTOK,https://api.spotify.com/v1/audio-analysis/3pGsDSDbAZSLlUGizoKTOK,256680.0,4.0
0.321,0.201,9.0,0.5008483726669751,1.0,0.0387,0.288,5.36e-06,0.114,0.384,0.0,audio_features,6C6H2lkwmb2F2eUHhnlNy5,spotify:track:6C6H2lkwmb2F2eUHhnlNy5,https://api.spotify.com/v1/tracks/6C6H2lkwmb2F2eUHhnlNy5,https://api.spotify.com/v1/audio-analysis/6C6H2lkwmb2F2eUHhnlNy5,331267.0,3.0
0.487,0.369,11.0,0.1955884621317292,0.0,0.0406,0.736,3.75e-05,0.0925,0.106,1.0,audio_features,5b9iBVhfYxDF4JJcHrNIx5,spotify:track:5b9iBVhfYxDF4JJcHrNIx5,https://api.spotify.com/v1/tracks/5b9iBVhfYxDF4JJcHrNIx5,https://api.spotify.com/v1/audio-analysis/5b9iBVhfYxDF4JJcHrNIx5,289307.0,4.0
0.616,0.505,1.0,0.8306339657565941,1.0,0.058,0.381,0.00115,0.161,0.228,0.5655876313564439,audio_features,03qDVofuUUQSsSQCLWX0eF,spotify:track:03qDVofuUUQSsSQCLWX0eF,https://api.spotify.com/v1/tracks/03qDVofuUUQSsSQCLWX0eF,https://api.spotify.com/v1/audio-analysis/03qDVofuUUQSsSQCLWX0eF,285291.0,4.0
0.503,0.146,5.0,0.0,1.0,0.0398,0.982,0.0016,0.109,0.385,0.9045275194266617,audio_features,2d8K1WX9l58m1ON3uAcQRu,spotify:track:2d8K1WX9l58m1ON3uAcQRu,https://api.spotify.com/v1/tracks/2d8K1WX9l58m1ON3uAcQRu,https://api.spotify.com/v1/audio-analysis/2d8K1WX9l58m1ON3uAcQRu,249833.0,4.0
0.393,0.177,5.0,0.1072034551904982,1.0,0.0481,0.961,0.000176,0.118,0.167,0.3636409389217699,audio_features,2hSdHOOBLXNkh7zmmgoAn3,spotify:track:2hSdHOOBLXNkh7zmmgoAn3,https://api.spotify.com/v1/tracks/2hSdHOOBLXNkh7zmmgoAn3,https://api.spotify.com/v1/audio-analysis/2hSdHOOBLXNkh7zmmgoAn3,215760.0,5.0
0.409,0.294,11.0,1.0,1.0,0.0439,0.912,0.000177,0.22,0.0399,0.4433808430969923,audio_features,3h6RD7RYENDIb3qB9Bw4OB,spotify:track:3h6RD7RYENDIb3qB9Bw4OB,https://api.spotify.com/v1/tracks/3h6RD7RYENDIb3qB9Bw4OB,https://api.spotify.com/v1/audio-analysis/3h6RD7RYENDIb3qB9Bw4OB,283173.0,4.0
0.549,0.301,8.0,0.6805491284898967,1.0,0.0291,0.858,0.0,0.104,0.329,0.5087168337560898,audio_features,18xJKixEojfBqDEXFlDn2c,spotify:track:18xJKixEojfBqDEXFlDn2c,https://api.spotify.com/v1/tracks/18xJKixEojfBqDEXFlDn2c,https://api.spotify.com/v1/audio-analysis/18xJKixEojfBqDEXFlDn2c,139333.0,3.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
