danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.759,0.332,2,-9.981,0,0.112,0.88,0.000374,0.121,0.274,114.469,audio_features,4abXKMf3IsIe3gQaCsiiHx,spotify:track:4abXKMf3IsIe3gQaCsiiHx,https://api.spotify.com/v1/tracks/4abXKMf3IsIe3gQaCsiiHx,https://api.spotify.com/v1/audio-analysis/4abXKMf3IsIe3gQaCsiiHx,181593,3
0.45,0.835,4,-5.055,1,0.0463,0.0765,0.0353,0.0667,0.622,127.938,audio_features,0y2gQ2VtIL2OW0xPWBVdXQ,spotify:track:0y2gQ2VtIL2OW0xPWBVdXQ,https://api.spotify.com/v1/tracks/0y2gQ2VtIL2OW0xPWBVdXQ,https://api.spotify.com/v1/audio-analysis/0y2gQ2VtIL2OW0xPWBVdXQ,241413,4
0.421,0.617,0,-4.834,1,0.0314,0.0689,0.000367,0.366,0.269,95.476,audio_features,62TZmrTpoOjroMzRVQCDcW,spotify:track:62TZmrTpoOjroMzRVQCDcW,https://api.spotify.com/v1/tracks/62TZmrTpoOjroMzRVQCDcW,https://api.spotify.com/v1/audio-analysis/62TZmrTpoOjroMzRVQCDcW,186067,4
0.461,0.161,8,-11.145,1,0.405,0.878,0,0.17,0.353,88.781,audio_features,0H2MmFtJgoeywCIbAN3sid,spotify:track:0H2MmFtJgoeywCIbAN3sid,https://api.spotify.com/v1/tracks/0H2MmFtJgoeywCIbAN3sid,https://api.spotify.com/v1/audio-analysis/0H2MmFtJgoeywCIbAN3sid,132000,3
0.228,0.38,9,-6.774,1,0.0307,0.505,0.00441,0.106,0.173,112.81,audio_features,1lcHu7OTXCRQrlBV4XJiOW,spotify:track:1lcHu7OTXCRQrlBV4XJiOW,https://api.spotify.com/v1/tracks/1lcHu7OTXCRQrlBV4XJiOW,https://api.spotify.com/v1/audio-analysis/1lcHu7OTXCRQrlBV4XJiOW,278067,4
0.54,0.666,10,-5.712,1,0.0274,0.0739,0.016,0.0988,0.574,121.941,audio_features,7szSmuBzmUi1tn2C10XU7d,spotify:track:7szSmuBzmUi1tn2C10XU7d,https://api.spotify.com/v1/tracks/7szSmuBzmUi1tn2C10XU7d,https://api.spotify.com/v1/audio-analysis/7szSmuBzmUi1tn2C10XU7d,141082,3
0.632,0.55,0,-15.367,1,0.0334,0.781,0.887,0.111,0.556,95.59,audio_features,3wLRfDOMa6rArcdZGp05f8,spotify:track:3wLRfDOMa6rArcdZGp05f8,https://api.spotify.com/v1/tracks/3wLRfDOMa6rArcdZGp05f8,https://api.spotify.com/v1/audio-analysis/3wLRfDOMa6rArcdZGp05f8,279017,4
0.354,0.668,4,-7.9,1,0.0392,0.461,0.721,0.159,0.372,118.54,audio_features,6ZXoX3GiljGiuQpGCjWJI3,spotify:track:6ZXoX3GiljGiuQpGCjWJI3,https://api.spotify.com/v1/tracks/6ZXoX3GiljGiuQpGCjWJI3,https://api.spotify.com/v1/audio-analysis/6ZXoX3GiljGiuQpGCjWJI3,449373,4
0.347,0.102,8,-17.94,1,0.0437,0.995,0.858,0.115,0.126,66.982,audio_features,185EiYT58r61hdnHxjKVzT,spotify:track:185EiYT58r61hdnHxjKVzT,https://api.spotify.com/v1/tracks/185EiYT58r61hdnHxjKVzT,https://api.spotify.com/v1/audio-analysis/185EiYT58r61hdnHxjKVzT,193413,3
0.553,0.785,6,-9.445,1,0.0479,0.19,0.511,0.145,0.543,164.05,audio_features,4kaIjkNwU1ET3Kn3n1G8Bl,spotify:track:4kaIjkNwU1ET3Kn3n1G8Bl,https://api.spotify.com/v1/tracks/4kaIjkNwU1ET3Kn3n1G8Bl,https://api.spotify.com/v1/audio-analysis/4kaIjkNwU1ET3Kn3n1G8Bl,270861,4
0.238,0.326,7,-10.594,1,0.0304,0.66,0.00362,0.196,0.104,67.592,audio_features,1arBwH3cCITd3MRAr2sn4d,spotify:track:1arBwH3cCITd3MRAr2sn4d,https://api.spotify.com/v1/tracks/1arBwH3cCITd3MRAr2sn4d,https://api.spotify.com/v1/audio-analysis/1arBwH3cCITd3MRAr2sn4d,565720,4
0.635,0.642,6,-9.102,1,0.0385,0.6,0.000108,0.109,0.945,80.626,audio_features,5mgWvA2TShvmIkzLR4jAu1,spotify:track:5mgWvA2TShvmIkzLR4jAu1,https://api.spotify.com/v1/tracks/5mgWvA2TShvmIkzLR4jAu1,https://api.spotify.com/v1/audio-analysis/5mgWvA2TShvmIkzLR4jAu1,190917,4
