danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.45,0.951,0.0,1.0,1.0,0.0468,0.0154,0.0,0.114,0.507,0.9962932411690385,audio_features,22zwnYdTRDjBzTD1iQSGyd,spotify:track:22zwnYdTRDjBzTD1iQSGyd,https://api.spotify.com/v1/tracks/22zwnYdTRDjBzTD1iQSGyd,https://api.spotify.com/v1/audio-analysis/22zwnYdTRDjBzTD1iQSGyd,178720.0,4.0
0.414,0.936,2.0,0.9855982674607473,1.0,0.0758,0.00136,0.0,0.369,0.74,1.0,audio_features,6sqNctd7MlJoKDOxPVCAvU,spotify:track:6sqNctd7MlJoKDOxPVCAvU,https://api.spotify.com/v1/tracks/6sqNctd7MlJoKDOxPVCAvU,https://api.spotify.com/v1/audio-analysis/6sqNctd7MlJoKDOxPVCAvU,242413.0,4.0
0.508,0.333,11.0,0.0,0.0,0.0305,0.81,0.0,0.19,0.195,0.0,audio_features,1tpLxOKuAaRCViAxf2pgNr,spotify:track:1tpLxOKuAaRCViAxf2pgNr,https://api.spotify.com/v1/tracks/1tpLxOKuAaRCViAxf2pgNr,https://api.spotify.com/v1/audio-analysis/1tpLxOKuAaRCViAxf2pgNr,259893.0,4.0
0.664,0.781,11.0,0.537303735787764,1.0,0.0339,0.00103,5.33e-06,0.0867,0.593,0.37111442921134785,audio_features,1oTo3ijRbaDAtrjJrGAPSw,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,https://api.spotify.com/v1/tracks/1oTo3ijRbaDAtrjJrGAPSw,https://api.spotify.com/v1/audio-analysis/1oTo3ijRbaDAtrjJrGAPSw,227240.0,4.0
0.401,0.454,6.0,0.43974011911207367,1.0,0.0295,0.234,8.97e-06,0.177,0.175,0.046997525346921344,audio_features,3P7f4TYXYqz1MwcFiQhgu3,spotify:track:3P7f4TYXYqz1MwcFiQhgu3,https://api.spotify.com/v1/tracks/3P7f4TYXYqz1MwcFiQhgu3,https://api.spotify.com/v1/audio-analysis/3P7f4TYXYqz1MwcFiQhgu3,228907.0,4.0
0.363,0.376,5.0,0.31229020032485116,1.0,0.0362,0.359,0.0,0.13,0.344,0.6203443631161834,audio_features,7JYcQU1Dv1Rabv3AQyynWD,spotify:track:7JYcQU1Dv1Rabv3AQyynWD,https://api.spotify.com/v1/tracks/7JYcQU1Dv1Rabv3AQyynWD,https://api.spotify.com/v1/audio-analysis/7JYcQU1Dv1Rabv3AQyynWD,232280.0,4.0
0.619,0.924,7.0,0.8988630211153222,1.0,0.0978,0.0103,2.75e-05,0.296,0.642,0.4757494439861753,audio_features,0UkwlLHPeSzRbmsRrnd7KG,spotify:track:0UkwlLHPeSzRbmsRrnd7KG,https://api.spotify.com/v1/tracks/0UkwlLHPeSzRbmsRrnd7KG,https://api.spotify.com/v1/audio-analysis/0UkwlLHPeSzRbmsRrnd7KG,209240.0,4.0
0.566,0.507,6.0,0.4911748781808339,1.0,0.0279,0.535,0.00619,0.107,0.141,0.8735525367804449,audio_features,3fDsErbmOD3TuaSDuxSXav,spotify:track:3fDsErbmOD3TuaSDuxSXav,https://api.spotify.com/v1/tracks/3fDsErbmOD3TuaSDuxSXav,https://api.spotify.com/v1/audio-analysis/3fDsErbmOD3TuaSDuxSXav,253373.0,4.0
0.617,0.601,7.0,0.6453708716838116,1.0,0.03,0.0872,0.0,0.0901,0.195,0.37161562477159055,audio_features,4K41YQFFNY45aAZXzBb9Q3,spotify:track:4K41YQFFNY45aAZXzBb9Q3,https://api.spotify.com/v1/tracks/4K41YQFFNY45aAZXzBb9Q3,https://api.spotify.com/v1/audio-analysis/4K41YQFFNY45aAZXzBb9Q3,237912.0,4.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
