danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.381,0.581,7.0,0.9606773019871258,0.0,0.0481,0.00936,1.43e-05,0.455,0.154,0.13967184250868964,audio_features,0QLXkoV7vX86QEibgLe6zQ,spotify:track:0QLXkoV7vX86QEibgLe6zQ,https://api.spotify.com/v1/tracks/0QLXkoV7vX86QEibgLe6zQ,https://api.spotify.com/v1/audio-analysis/0QLXkoV7vX86QEibgLe6zQ,348627.0,4.0
0.381,0.594,3.0,0.7232017912118668,1.0,0.0486,0.348,0.0,0.0925,0.273,0.6047690603038722,audio_features,7IWkJwX9C0J7tHurTD7ViL,spotify:track:7IWkJwX9C0J7tHurTD7ViL,https://api.spotify.com/v1/tracks/7IWkJwX9C0J7tHurTD7ViL,https://api.spotify.com/v1/audio-analysis/7IWkJwX9C0J7tHurTD7ViL,290907.0,4.0
0.559,0.33,9.0,0.40400223901483356,1.0,0.0285,0.892,0.0,0.0975,0.285,0.47194268627718844,audio_features,4kflIGfjdZJW4ot2ioixTB,spotify:track:4kflIGfjdZJW4ot2ioixTB,https://api.spotify.com/v1/tracks/4kflIGfjdZJW4ot2ioixTB,https://api.spotify.com/v1/audio-analysis/4kflIGfjdZJW4ot2ioixTB,285040.0,4.0
0.64,0.743,10.0,0.987685418415897,1.0,0.0379,0.269,0.0,0.101,0.361,0.2734999924107887,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533.0,4.0
0.563,0.592,9.0,0.918975650713686,1.0,0.0276,0.209,5.08e-05,0.132,0.136,0.0,audio_features,11bD1JtSjlIgKgZG2134DZ,spotify:track:11bD1JtSjlIgKgZG2134DZ,https://api.spotify.com/v1/tracks/11bD1JtSjlIgKgZG2134DZ,https://api.spotify.com/v1/audio-analysis/11bD1JtSjlIgKgZG2134DZ,267933.0,4.0
0.452,0.571,7.0,1.0,1.0,0.0359,0.25,0.0,0.114,0.327,1.0,audio_features,1NpDnkQO0yWxTtntrC0UNz,spotify:track:1NpDnkQO0yWxTtntrC0UNz,https://api.spotify.com/v1/tracks/1NpDnkQO0yWxTtntrC0UNz,https://api.spotify.com/v1/audio-analysis/1NpDnkQO0yWxTtntrC0UNz,251600.0,4.0
0.375,0.408,7.0,0.5562552476910159,1.0,0.0331,0.623,0.0,0.123,0.165,0.34448947376409694,audio_features,37IToWWYUc9nuH3ijz4tqV,spotify:track:37IToWWYUc9nuH3ijz4tqV,https://api.spotify.com/v1/tracks/37IToWWYUc9nuH3ijz4tqV,https://api.spotify.com/v1/audio-analysis/37IToWWYUc9nuH3ijz4tqV,249080.0,4.0
0.546,0.311,1.0,0.10383431290232285,1.0,0.0288,0.818,1.65e-05,0.107,0.246,0.6594720944705007,audio_features,13HVjjWUZFaWilh2QUJKsP,spotify:track:13HVjjWUZFaWilh2QUJKsP,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,https://api.spotify.com/v1/audio-analysis/13HVjjWUZFaWilh2QUJKsP,260533.0,4.0
0.468,0.19,4.0,0.0,1.0,0.0373,0.919,0.0,0.107,0.326,0.3233459314238878,audio_features,64GRDrL1efgXclrhVCeuA0,spotify:track:64GRDrL1efgXclrhVCeuA0,https://api.spotify.com/v1/tracks/64GRDrL1efgXclrhVCeuA0,https://api.spotify.com/v1/audio-analysis/64GRDrL1efgXclrhVCeuA0,219536.0,4.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
